Blogon-BUrl-BConnect-BDisconnect-,BlBUBCBD
BUrl-BConnect-BDisconnect-BUrl-,BUBCBDBU
BConnect-BDisconnect-BUrl-BSendEmail-,BCBDBUBS
BDisconnect-BUrl-BSendEmail-BUrl-,BDBUBSBU
BUrl-BSendEmail-BUrl-BConnect-,BUBSBUBC
BSendEmail-BUrl-BConnect-BFileCopy-,BSBUBCBF
BUrl-BConnect-BFileCopy-CFileCopy-,BUBCBFCF
BConnect-BFileCopy-CFileCopy-CFileCopy-,BCBFCFCF
BFileCopy-CFileCopy-CFileCopy-CDisconnect-,BFCFCFCD
CFileCopy-CFileCopy-CDisconnect-CUrl-,CFCFCDCU
CFileCopy-CDisconnect-CUrl-Clogon-,CFCDCUCl
CDisconnect-CUrl-Clogon-CNologon-,CDCUClCN
CUrl-Clogon-CNologon-CUrl-,CUClCNCU
Clogon-CNologon-CUrl-DNologon-,ClCNCUDN
CNologon-CUrl-DNologon-Blogon-,CNCUDNBl
CUrl-DNologon-Blogon-BUrl-,CUDNBlBU
DNologon-Blogon-BUrl-CUrl-,DNBlBUCU
Blogon-BUrl-CUrl-Clogon-,BlBUCUCl
BUrl-CUrl-Clogon-CUrl-,BUCUClCU
CUrl-Clogon-CUrl-CSendEmail-,CUClCUCS
Clogon-CUrl-CSendEmail-CUrl-,ClCUCSCU
CUrl-CSendEmail-CUrl-DNologon-,CUCSCUDN
CSendEmail-CUrl-DNologon-Blogon-,CSCUDNBl
CUrl-DNologon-Blogon-BUrl-,CUDNBlBU
DNologon-Blogon-BUrl-Clogon-,DNBlBUCl
Blogon-BUrl-Clogon-CUrl-,BlBUClCU
BUrl-Clogon-CUrl-Clogon-,BUClCUCl
Clogon-CUrl-Clogon-CNologon-,ClCUClCN
CUrl-Clogon-CNologon-DNologon-,CUClCNDN
Clogon-CNologon-DNologon-Blogon-,ClCNDNBl
CNologon-DNologon-Blogon-BUrl-,CNDNBlBU
