id,RECALL,PRE
0,0.018518519,1
1,0.018518519,1
2,0.018518519,1
3,0.018518519,1
4,0.018518519,1
5,0.018518519,1
6,0.018518519,1
7,0.018518519,1
8,0.018518519,1
9,0.018518519,1
10,0.018518519,1
11,0.018518519,1
12,0.018518519,1
13,0.018518519,1
14,0.018518519,1
15,0.018518519,1
16,0.018518519,1
17,0.018518519,1
18,0.018518519,1
19,0.018518519,1
20,0.018518519,1
21,0.018518519,1
22,0.018518519,1
23,0.018518519,1
24,0.018518519,1
25,0.018518519,1
26,0.018518519,1
27,0.018518519,1
28,0.018518519,1
29,0.018518519,1
30,0.018518519,1
31,0.018518519,1
32,0.018518519,1
33,0.018518519,1
34,0.018518519,1
35,0.018518519,1
36,0.018518519,1
37,0.018518519,1
38,0.018518519,1
39,0.018518519,1
40,0.018518519,1
41,0.018518519,1
42,0.018518519,1
43,0.018518519,1
44,0.018518519,1
45,0.018518519,1
46,0.018518519,1
47,0.018518519,1
48,0.018518519,1
49,0.018518519,1
50,0.018518519,1
51,0.018518519,1
52,0.018518519,1
53,0.018518519,1
54,0.018518519,1
55,0.018518519,1
56,0.018518519,1
57,0.018518519,1
58,0.018518519,1
59,0.018518519,1
60,0.018518519,1
61,0.018518519,1
62,0.018518519,1
63,0.018518519,1
64,0.018518519,1
65,0.018518519,1
66,0.018518519,1
67,0.018518519,1
68,0.018518519,1
69,0.018518519,1
70,0.018518519,1
71,0.018518519,1
72,0.018518519,1
73,0.018518519,1
74,0.018518519,1
75,0.018518519,1
76,0.018518519,1
77,0.018518519,1
78,0.018518519,1
79,0.018518519,1
80,0.018518519,1
81,0.018518519,1
82,0.018518519,1
83,0.018518519,1
84,0.018518519,1
85,0.018518519,1
86,0.018518519,1
87,0.018518519,1
88,0.018518519,1
89,0.018518519,1
90,0.018518519,1
91,0.018518519,1
92,0.018518519,1
93,0.018518519,1
94,0.018518519,1
95,0.018518519,1
96,0.018518519,1
97,0.018518519,1
98,0.018518519,1
99,0.018518519,1
100,0.018518519,1
101,0.018518519,1
102,0.018518519,1
103,0.018518519,1
104,0.018518519,1
105,0.018518519,1
106,0.018518519,1
