users,states,mscores,iscores
JFC0557,0,0.00450888655414,0.00424742698241
MAR0955,1,0.000489929145731,0.00162817829716
FOB0756,0,0.000938287780773,0.00479827992965
MDM0625,0,0.00952628560727,0.00368687526245
MAS0025,1,0.00144593847397,0.00275169018647
GHL0460,1,0.000669585896455,0.00141140234961
FMG0527,1,0.000492363744385,0.00293132380455
HCL0651,0,0.00193264611305,0.00410726205855
SCP0130,0,0.00233560266428,0.00419640619739
RSC0089,0,0.00534389325103,0.00440005556931
CCM0136,0,0.000919787356083,0.00455203648682
VCC0396,0,0.00478346628178,0.00450411176794
WDD0366,1,0.0030796733745,0.0044046402599
VIA0063,0,0.00874301967353,0.00486790094184
BIH0745,1,0.00145379095456,0.00178788316591
LIM0674,0,0.00259623208319,0.00453898827403
ILH0958,0,0.000745230592825,0.00379091238819
FEB0306,0,0.00243404246996,0.00412694910639
IJM0776,1,0.00146972567247,0.00487700254304
SBH0537,0,0.00196873373815,0.00468882684573
HAH0760,0,0.00346268252757,0.00449153504837
AHD0848,0,0.00131776867906,0.00441626606398
AJN0607,0,0.00683032237769,0.00473039336436
EIS0041,0,0.00598726238957,0.00307915365938
LJT0817,0,0.00364692590575,0.00418333551354
BDI0533,0,0.00333725799995,0.00449430991744
MGS0974,0,0.00220326655531,0.00485690692744
BMT0528,0,0.00264539543098,0.00444932214411
GCS0571,0,0.00141840209105,0.00451942942885
BJP0134,0,0.00708388622865,0.00464694933533
RRP0568,0,0.00446962086299,0.00456248116297
MCF0600,1,0.000409350781929,0.00136256869072
SAA0999,0,0.00996379511847,0.003794125114
THR0873,0,0.00871135180417,0.00343768392443
FSC0601,1,0.00430145896708,0.00475956624379
AKR0057,1,0.00490513350945,0.00453982763249
GZC0735,0,0.00421977492799,0.00479186296805
KMB0922,0,0.00299562170201,0.00408234037451
CFM0767,0,0.00160271054699,0.00487842291284
HAD0246,0,0.00291683653847,0.00457136878742
LBF0214,0,0.00376632606084,0.00441187966463
BWP0202,0,0.00217381526199,0.00395719147284
FFC0891,0,0.00291975934892,0.00454969421002
AJR0932,1,0.00120998939875,0.000787239284261
BDV0168,1,0.00203137458505,0.00275995483489
ZKS0899,0,0.00880563783411,0.00440604051038
AJF0370,0,0.011355087356,0.0031114279773
OCS0865,0,0.00572785702821,0.00469725323619
AAM0658,1,0.000818783672606,0.00289262557766
HCS0003,0,0.00790474070009,0.00397929569743
NGF0157,0,0.00424536668769,0.00481444780158
CPG0322,0,0.00284425575351,0.00480944612872
OBH0499,0,0.00601946252113,0.00438015732798
ATP0662,0,0.00649303826756,0.00448154432441
DPM0423,0,0.003775867514,0.00450698285374
IRM0931,0,0.00385800733461,0.00430243278372
HJB0742,1,0.00196432746431,0.00279559435392
DBB0384,0,0.00930791922637,0.00312385097019
RHL0992,1,0.00429403318845,0.00453254098782
HBO0413,1,0.00454850720529,0.00462769549467
UAD0771,0,0.00237652676693,0.00430490117033
LCB0664,0,0.00576342153227,0.00472600945699
JCG0316,0,0.00628984573101,0.00450332357619
HCM0267,0,0.00830213297646,0.00346517595094
MTB0620,0,0.00742226762966,0.00450446990257
CAM0681,0,0.00219235501416,0.004553650412
LBH0942,0,0.00918485437577,0.003625224326
NDM0417,0,0.00363291509101,0.00481519233496
JJM0203,1,0.00363666363529,0.00486588605432
CTA0020,0,0.00778499150506,0.00439735198626
BAJ0654,0,0.00139446425227,0.00271787114735
JJH0613,0,0.00748943821446,0.00451352891338
DMK0257,0,0.00475375488516,0.0044347579597
WIQ0567,0,0.00444323302652,0.00484447597312
RAW0915,0,0.00285131016543,0.00413706713762
SAB0781,0,0.00155750552366,0.00449585607343
IBM0671,0,0.00363440255226,0.00452892220781
GTD0219,1,0.00629551470006,0.00320080185392
CAH0936,1,0.00171984509917,0.00296833146946
AIP0982,0,0.00521769672037,0.00332947669547
JBD0616,0,0.0058525608288,0.00475422514242
RUM0880,0,0.00450340320719,0.00448333011062
SMY0792,0,0.00350742204674,0.00468735170607
KJJ0293,0,0.00118762982059,0.00486593075912
KKW0879,0,0.00728256807433,0.00429349045415
RVF0201,0,0.00420700783858,0.00487547623667
VFM0814,0,0.00240416936309,0.00451949254848
SBN0866,0,0.00441578300609,0.00314019704641
DRR0162,1,0.00471136193264,0.0048114498724
ESR0693,0,0.00417788833282,0.00452233419427
CWR0502,0,0.0053738232692,0.00468168261129
IKP0472,0,0.00248188015731,0.00455011492488
GKO0078,0,0.0056455853146,0.00468595771253
GNS0178,0,0.00395165336162,0.00290894105957
LOM0086,0,0.00456647643625,0.00476126703264
BBG0325,0,0.0064022926997,0.00487842291284
RKD0604,1,0.00205934241618,0.00194912264765
JMK0099,0,0.00218541668289,0.00451632624273
DCH0843,1,0.000573076400892,0.00140914839283
WIF0691,0,0.0091548259917,0.00325029751923
DIW0118,0,0.00576037314063,0.00475286132246
USH0199,0,0.00245418511324,0.0048184419336
FKK0055,0,0.0031929800083,0.00475649684519
TAP0551,1,0.00200100792654,0.00291555856707
XAA0104,0,0.00345519158168,0.00450111583451
JTS0389,0,0.00352575139114,0.00481756968301
KMW0545,0,0.00204195484025,0.00481378985139
PSF0133,1,0.00262851813387,0.00430128003858
CCL0068,1,0.00352630372632,0.00486408172381
RNP0211,0,0.00657245867898,0.00407063700587
LDG0459,0,0.000649131641572,0.00448482868146
BMG0917,0,0.0066233627969,0.00418235856699
PNH0761,0,0.00279381085504,0.00365242926659
MLL0598,0,0.00399696336277,0.00438986805362
BTL0226,1,0.00186645178892,0.00149327087973
SBN0971,0,0.000817906518402,0.0047609886525
BVC0790,0,0.00451925763166,0.00440062581438
ICH0294,0,0.0024908269627,0.00485963571087
DIB0285,1,0.0028753201187,0.00457219887913
LCC0819,1,0.0032908626414,0.00453404681887
MPM0220,1,0.0121430269724,0.00312164546159
JDB0169,0,0.0088956527091,0.00348404359781
MDH0580,1,0.00217647466178,0.00439239090803
WXH0872,0,0.00468161448289,0.00437045004366
GCL0016,0,0.00174589495311,0.00423311645242
DAL0673,0,0.00272058626187,0.00487842291284
CEJ0109,1,0.00437559420321,0.00425327597516
BAL0044,0,0.00538079869759,0.00321729968264
IUB0565,1,0.00472646661033,0.00486298067399
AMR0318,0,0.00520894474021,0.00457136878742
CAB0614,0,0.00535640299366,0.00474975054171
EHD0584,1,0.000650629441089,0.00268912992164
SNC0187,0,0.00293224985097,0.00410528044073
IBB0359,0,0.00921264110271,0.00327983532963
AJD0074,0,0.00345961118978,0.0046579337917
QJR0688,0,0.00503387360968,0.00449255118712
RDT0424,0,0.00550940489761,0.00487176791761
RLG0856,0,0.002817179734,0.00450430414745
MOS0047,1,0.00821574158985,0.00324673470652
RSM0277,0,0.00313767664174,0.00482548745932
IIW0249,0,0.00611106233298,0.00440161423918
HVF0067,0,0.00394265200739,0.00479923546233
HWW0436,0,0.00605167565715,0.00455945281208
MVB0515,0,0.00383915562753,0.00420714992318
IJM0444,0,0.00487781538924,0.00430779349738
CIM0271,0,0.00608298466643,0.00466493089082
KCO0122,0,0.00432215037393,0.00410613287405
NAF0326,0,0.00672021597801,0.00439066643988
KLH0596,1,0.000463400410378,0.00194912264765
RMW0542,1,0.00376726324218,0.00474330472264
JHP0583,0,0.00336224320629,0.00454570574162
QRM0739,0,0.00759186048623,0.00373655890583
ESH0283,0,0.00685552250523,0.00264477151073
WBC0192,0,0.00265420690617,0.00468882684573
VSA0230,0,0.00274918113604,0.0045449197398
NKP0236,0,0.00263531879274,0.00486273133471
IBB0696,0,0.00304355013708,0.00481396118382
ABC0174,1,0.00443415216632,0.0048125506741
XWD0923,0,0.0066534881052,0.00327633343584
RHO0732,0,0.00641507476179,0.00440320077405
JNJ0556,0,0.0081025509333,0.0047501011572
AIB0948,0,0.00534202298433,0.00442769191551
MCD0125,0,0.00303154433443,0.00412903288503
EMW0772,0,0.00182464686275,0.00471820986145
PDH0716,0,0.00448979554047,0.00456248116297
MBJ0312,0,0.00618874986222,0.00476299383096
AJH0175,0,0.00350158124256,0.00484689163957
KBG0549,0,0.00231079631548,0.00457234496802
MPT0376,0,0.00407341583956,0.0046662179769
CQH0701,0,0.000947310792875,0.00487562278944
HDS0367,0,0.00830526156774,0.00269770783807
EGD0132,1,0.00188949346654,0.00485690692744
VTT0385,0,0.0042697163063,0.00481863625491
TSR0676,0,0.00469893053988,0.00482629853207
KCS0173,0,0.00536613262768,0.00479186296805
CCA0046,1,0.00541781805251,0.00327749172592
PMV0850,0,0.00247449462919,0.00443120180308
SGM0021,0,0.0053080357037,0.0044407576046
VSS0154,1,0.00427744289487,0.00439913999477
IKR0401,1,0.00312157930946,0.00453704629072
FTM0406,1,0.000937304512638,0.000903652076657
