users,states,mscores,iscores,newscore0,newscore1,newscore2,newscore3,newscore4,newscore5,newscore6,newscore7,newscore8,newscore9,newscore10
JFC0557,0,0.00450888655414,0.00424742698241,0.00424742698241,0.00427357293958,0.00429971889676,0.00432586485393,0.0043520108111,0.00437815676828,0.00440430272545,0.00443044868262,0.00445659463979,0.00448274059697,0.00450888655414
MAR0955,1,0.000489929145731,0.00162817829716,0.00162817829716,0.00151435338202,0.00140052846687,0.00128670355173,0.00117287863659,0.00105905372145,0.000945228806303,0.00083140389116,0.000717578976017,0.000603754060874,0.000489929145731
FOB0756,0,0.000938287780773,0.00479827992965,0.00479827992965,0.00441228071476,0.00402628149987,0.00364028228499,0.0032542830701,0.00286828385521,0.00248228464032,0.00209628542544,0.00171028621055,0.00132428699566,0.000938287780773
MDM0625,0,0.00952628560727,0.00368687526245,0.00368687526245,0.00427081629693,0.00485475733141,0.0054386983659,0.00602263940038,0.00660658043486,0.00719052146934,0.00777446250382,0.00835840353831,0.00894234457279,0.00952628560727
MAS0025,1,0.00144593847397,0.00275169018647,0.00275169018647,0.00262111501522,0.00249053984397,0.00235996467272,0.00222938950147,0.00209881433022,0.00196823915897,0.00183766398772,0.00170708881647,0.00157651364522,0.00144593847397
GHL0460,1,0.000669585896455,0.00141140234961,0.00141140234961,0.00133722070429,0.00126303905898,0.00118885741366,0.00111467576835,0.00104049412303,0.000966312477717,0.000892130832402,0.000817949187086,0.000743767541771,0.000669585896455
FMG0527,1,0.000492363744385,0.00293132380455,0.00293132380455,0.00268742779853,0.00244353179252,0.0021996357865,0.00195573978048,0.00171184377447,0.00146794776845,0.00122405176243,0.000980155756418,0.000736259750402,0.000492363744385
HCL0651,0,0.00193264611305,0.00410726205855,0.00410726205855,0.003889800464,0.00367233886945,0.0034548772749,0.00323741568035,0.0030199540858,0.00280249249125,0.0025850308967,0.00236756930215,0.0021501077076,0.00193264611305
SCP0130,0,0.00233560266428,0.00419640619739,0.00419640619739,0.00401032584408,0.00382424549077,0.00363816513746,0.00345208478415,0.00326600443083,0.00307992407752,0.00289384372421,0.0027077633709,0.00252168301759,0.00233560266428
RSC0089,0,0.00534389325103,0.00440005556931,0.00440005556931,0.00449443933748,0.00458882310565,0.00468320687383,0.004777590642,0.00487197441017,0.00496635817834,0.00506074194651,0.00515512571469,0.00524950948286,0.00534389325103
CCM0136,0,0.000919787356083,0.00455203648682,0.00455203648682,0.00418881157375,0.00382558666067,0.0034623617476,0.00309913683453,0.00273591192145,0.00237268700838,0.0020094620953,0.00164623718223,0.00128301226916,0.000919787356083
VCC0396,0,0.00478346628178,0.00450411176794,0.00450411176794,0.00453204721932,0.00455998267071,0.00458791812209,0.00461585357348,0.00464378902486,0.00467172447624,0.00469965992763,0.00472759537901,0.0047555308304,0.00478346628178
WDD0366,1,0.0030796733745,0.0044046402599,0.0044046402599,0.00427214357136,0.00413964688282,0.00400715019428,0.00387465350574,0.0037421568172,0.00360966012866,0.00347716344012,0.00334466675158,0.00321217006304,0.0030796733745
VIA0063,0,0.00874301967353,0.00486790094184,0.00486790094184,0.00525541281501,0.00564292468818,0.00603043656135,0.00641794843452,0.00680546030769,0.00719297218085,0.00758048405402,0.00796799592719,0.00835550780036,0.00874301967353
BIH0745,1,0.00145379095456,0.00178788316591,0.00178788316591,0.00175447394478,0.00172106472364,0.0016876555025,0.00165424628137,0.00162083706023,0.0015874278391,0.00155401861796,0.00152060939683,0.00148720017569,0.00145379095456
LIM0674,0,0.00259623208319,0.00453898827403,0.00453898827403,0.00434471265495,0.00415043703586,0.00395616141678,0.00376188579769,0.00356761017861,0.00337333455953,0.00317905894044,0.00298478332136,0.00279050770227,0.00259623208319
ILH0958,0,0.000745230592825,0.00379091238819,0.00379091238819,0.00348634420865,0.00318177602912,0.00287720784958,0.00257263967004,0.00226807149051,0.00196350331097,0.00165893513143,0.0013543669519,0.00104979877236,0.000745230592825
FEB0306,0,0.00243404246996,0.00412694910639,0.00412694910639,0.00395765844275,0.0037883677791,0.00361907711546,0.00344978645182,0.00328049578817,0.00311120512453,0.00294191446089,0.00277262379725,0.0026033331336,0.00243404246996
IJM0776,1,0.00146972567247,0.00487700254304,0.00487700254304,0.00453627485598,0.00419554716893,0.00385481948187,0.00351409179481,0.00317336410775,0.0028326364207,0.00249190873364,0.00215118104658,0.00181045335953,0.00146972567247
